?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/GO_0048785>	<http://www.w3.org/2000/01/rdf-schema#label>	"hatching gland development"	
<http://purl.obolibrary.org/obo/GO_0160060>	<http://www.w3.org/2000/01/rdf-schema#label>	"sleep homeostasis"	
<http://purl.obolibrary.org/obo/ZP_0149752>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of metabolic process increased rate, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0150945>	<http://www.w3.org/2000/01/rdf-schema#label>	"lipid oxidation increased rate of occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0012348>	<http://www.w3.org/2000/01/rdf-schema#label>	"iridophore ridged, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0000597>	<http://www.w3.org/2000/01/rdf-schema#label>	"retinal pigmented epithelium decreased pigmentation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0002885>	<http://www.w3.org/2000/01/rdf-schema#label>	"retina decreased functionality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0150273>	<http://www.w3.org/2000/01/rdf-schema#label>	"glutathione biosynthetic process decreased process quality, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0009264>	<http://www.w3.org/2000/01/rdf-schema#label>	"corneal epithelial cell"	
<http://purl.obolibrary.org/obo/PATO_0001167>	<http://www.w3.org/2000/01/rdf-schema#label>	"damaged"	
<http://purl.obolibrary.org/obo/ZP_0109289>	<http://www.w3.org/2000/01/rdf-schema#label>	"prootic-exoccipital joint quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0007593>	<http://www.w3.org/2000/01/rdf-schema#label>	"T-tubule fast muscle cell unlumenized, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0006904>	<http://www.w3.org/2000/01/rdf-schema#label>	"cilium pronephric tubule decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0109015>	<http://www.w3.org/2000/01/rdf-schema#label>	"epibranchial 3 bone quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0108160>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal fin pterygiophore 6 quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0142723>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromatin spermatocyte absent, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0153522>	<http://www.w3.org/2000/01/rdf-schema#label>	"dihydrolipoyl dehydrogenase (NADH) activity decreased occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0130676>	<http://www.w3.org/2000/01/rdf-schema#label>	"optomotor response behavioral quality of a process, abnormal"	
<http://purl.obolibrary.org/obo/GO_0060249>	<http://www.w3.org/2000/01/rdf-schema#label>	"anatomical structure homeostasis"	
<http://purl.obolibrary.org/obo/ZP_0004188>	<http://www.w3.org/2000/01/rdf-schema#label>	"ovarian follicle maturity, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0020652>	<http://www.w3.org/2000/01/rdf-schema#label>	"epithelium post-vent region blistered, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0142946>	<http://www.w3.org/2000/01/rdf-schema#label>	"amacrine cell retinal inner plexiform layer mislocalised, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0138563>	<http://www.w3.org/2000/01/rdf-schema#label>	"endocardial cushion bulbus arteriosus spatial pattern, abnormal"	
<http://purl.obolibrary.org/obo/GO_0006950>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to stress"	
<http://purl.obolibrary.org/obo/ZP_0130899>	<http://www.w3.org/2000/01/rdf-schema#label>	"ceratohyal cartilage decreased distance palatoquadrate cartilage, abnormal"	
