?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0000043>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/CHEBI_17351>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_74518>
<http://purl.obolibrary.org/obo/GO_0001843>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0014020>
<http://purl.obolibrary.org/obo/CHEBI_15891>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_35610>
<http://purl.obolibrary.org/obo/CHEBI_16016>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_35718>
<http://purl.obolibrary.org/obo/ZFA_0001439>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005068>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005589>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/ZFA_0005588>
<http://purl.obolibrary.org/obo/GO_0060576>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0060575>
<http://purl.obolibrary.org/obo/GO_0072132>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0009887>
<http://purl.obolibrary.org/obo/CHEBI_28918>	<http://purl.obolibrary.org/obo/RO_0018039>	<http://purl.obolibrary.org/obo/CHEBI_40751>
<http://purl.obolibrary.org/obo/CHEBI_22660>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_41402>
<http://purl.obolibrary.org/obo/CHEBI_35584>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_78675>
