ID [IRI]	LABEL
http://purl.obolibrary.org/obo/PATO_0001982	attenuate
http://purl.obolibrary.org/obo/PATO_0001988	quadrangular
http://purl.obolibrary.org/obo/PATO_0001989	sinuous
http://purl.obolibrary.org/obo/PATO_0001995	organismal quality
http://purl.obolibrary.org/obo/PATO_0001997	decreased amount
http://purl.obolibrary.org/obo/PATO_0001999	lacks parts or has fewer parts of type
http://purl.obolibrary.org/obo/PATO_0002000	lacks all parts of type
http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/PATO_0002005	concavity
http://purl.obolibrary.org/obo/PATO_0002006	2-D shape
http://purl.obolibrary.org/obo/PATO_0002007	convex 3-D shape
http://purl.obolibrary.org/obo/PATO_0002008	concave 3-D shape
http://purl.obolibrary.org/obo/PATO_0002009	branchiness
http://purl.obolibrary.org/obo/PATO_0002011	neoplastic
http://purl.obolibrary.org/obo/PATO_0002014	structure, cavities
http://purl.obolibrary.org/obo/PATO_0002031	upturned
http://purl.obolibrary.org/obo/PATO_0002034	undivided
http://purl.obolibrary.org/obo/PATO_0002037	degeneration
http://purl.obolibrary.org/obo/PATO_0002045	dendritic
http://purl.obolibrary.org/obo/PATO_0002053	dorso-ventrally flattened
http://purl.obolibrary.org/obo/PATO_0002063	columnar
http://purl.obolibrary.org/obo/PATO_0002065	star shaped
http://purl.obolibrary.org/obo/PATO_0002076	movement behavioral quality
http://purl.obolibrary.org/obo/PATO_0002078	hollow
http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/PATO_0002101	metaplastic
http://purl.obolibrary.org/obo/PATO_0002112	perforate
http://purl.obolibrary.org/obo/PATO_0002143	sloped downward
http://purl.obolibrary.org/obo/PATO_0002154	splayed ventral
http://purl.obolibrary.org/obo/PATO_0002164	curved medial
http://purl.obolibrary.org/obo/PATO_0002165	drooping
http://purl.obolibrary.org/obo/PATO_0002169	split medially
http://purl.obolibrary.org/obo/PATO_0002171	split bilaterally
http://purl.obolibrary.org/obo/PATO_0002175	spatial deviation
http://purl.obolibrary.org/obo/PATO_0002180	straight
http://purl.obolibrary.org/obo/PATO_0002181	displaced
http://purl.obolibrary.org/obo/PATO_0002198	quality of a substance
http://purl.obolibrary.org/obo/PATO_0002210	bulbous
http://purl.obolibrary.org/obo/PATO_0002212	slender
http://purl.obolibrary.org/obo/PATO_0002215	falciform
http://purl.obolibrary.org/obo/PATO_0002219	fan-shaped
http://purl.obolibrary.org/obo/PATO_0002224	V-shaped
http://purl.obolibrary.org/obo/PATO_0002232	semicircular
http://purl.obolibrary.org/obo/PATO_0002239	hourglass-shaped
http://purl.obolibrary.org/obo/PATO_0002240	teardrop-shaped
http://purl.obolibrary.org/obo/PATO_0002247	degree of pigmentation
http://purl.obolibrary.org/obo/PATO_0002248	pigmented
http://purl.obolibrary.org/obo/PATO_0002249	unpigmented
http://purl.obolibrary.org/obo/PATO_0002250	increased pigmentation
http://purl.obolibrary.org/obo/PATO_0002251	decreased pigmentation
http://purl.obolibrary.org/obo/PATO_0002252	antero-posteriorly flattened
http://purl.obolibrary.org/obo/PATO_0002254	flattened
http://purl.obolibrary.org/obo/PATO_0002255	grooved
http://purl.obolibrary.org/obo/PATO_0002257	multicuspidate
http://purl.obolibrary.org/obo/PATO_0002258	pointed
http://purl.obolibrary.org/obo/PATO_0002264	organization quality
http://purl.obolibrary.org/obo/PATO_0002266	3-D shape
http://purl.obolibrary.org/obo/PATO_0002267	edge shape
http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/PATO_0002282	increased mobility
http://purl.obolibrary.org/obo/PATO_0002283	decreased mobility
http://purl.obolibrary.org/obo/PATO_0002285	increased branchiness
http://purl.obolibrary.org/obo/PATO_0002286	decreased branchiness
http://purl.obolibrary.org/obo/PATO_0002290	aplastic/hypoplastic
http://purl.obolibrary.org/obo/PATO_0002291	agenesis
http://purl.obolibrary.org/obo/PATO_0002299	tubular
http://purl.obolibrary.org/obo/PATO_0002300	increased quality
http://purl.obolibrary.org/obo/PATO_0002301	decreased quality
http://purl.obolibrary.org/obo/PATO_0002303	decreased object quality
http://purl.obolibrary.org/obo/PATO_0002305	increased object quality
http://purl.obolibrary.org/obo/PATO_0002317	parallelogram
http://purl.obolibrary.org/obo/PATO_0002318	superelliptic
http://purl.obolibrary.org/obo/PATO_0002358	ridged
http://purl.obolibrary.org/obo/PATO_0002359	broad
http://purl.obolibrary.org/obo/PATO_0002364	shortened
http://purl.obolibrary.org/obo/PATO_0002400	fusiform
http://purl.obolibrary.org/obo/PATO_0002427	knobbled
